Date,Open,High,Low,Close
22-04-22,40525.86328,40777.75781,39315.41797,39740.32031
23-04-22,39738.72266,39935.85938,39352.20313,39486.73047
24-04-22,39478.375,39845.92578,39233.53906,39469.29297
25-04-22,39472.60547,40491.75391,38338.37891,40458.30859
26-04-22,40448.42188,40713.89063,37884.98438,38117.46094
27-04-22,38120.30078,39397.91797,37997.3125,39241.12109
28-04-22,39241.42969,40269.46484,38941.42188,39773.82813
29-04-22,39768.61719,39887.26953,38235.53516,38609.82422
30-04-22,38605.85938,38771.21094,37697.94141,37714.875
01-05-22,37713.26563,38627.85938,37585.78906,38469.09375
02-05-22,38472.1875,39074.97266,38156.5625,38529.32813
03-05-22,38528.10938,38629.99609,37585.62109,37750.45313
04-05-22,37748.01172,39902.94922,37732.05859,39698.37109
05-05-22,39695.74609,39789.28125,35856.51563,36575.14063
06-05-22,36573.18359,36624.35938,35482.13281,36040.92188
07-05-22,36042.50391,36129.92578,34940.82422,35501.95313
08-05-22,35502.94141,35502.94141,33878.96484,34059.26563
09-05-22,34060.01563,34222.07422,30296.95313,30296.95313
10-05-22,30273.6543,32596.30859,29944.80273,31022.90625
11-05-22,31016.18359,32013.40234,28170.41406,28936.35547
12-05-22,28936.73438,30032.43945,26350.49023,29047.75195
13-05-22,29030.91016,30924.80273,28782.33008,29283.10352
14-05-22,29285.64258,30192.80273,28702.91016,30101.26563
15-05-22,30098.58594,31308.19141,29527.74023,31305.11328
16-05-22,31304.375,31305.3418,29251.88477,29862.91797
17-05-22,29862.4082,30694.49023,29570.30273,30425.85742
18-05-22,30424.47852,30618.7168,28720.27148,28720.27148
19-05-22,28720.35938,30430.75195,28708.95508,30314.33398
20-05-22,30311.11914,30664.97656,28793.60547,29200.74023
21-05-22,29199.85938,29588.86914,29027.39453,29432.22656
22-05-22,29432.47266,30425.86133,29275.18359,30323.72266
23-05-22,30309.39648,30590.58594,28975.56055,29098.91016
24-05-22,29101.125,29774.35547,28786.58984,29655.58594
25-05-22,29653.13477,30157.78516,29384.94922,29562.36133
26-05-22,29564.77734,29834.16016,28261.90625,29267.22461
27-05-22,29251.14063,29346.94336,28326.61328,28627.57422
28-05-22,28622.625,28814.90039,28554.56641,28814.90039
29-05-22,29019.86719,29498.00977,28841.10742,29445.95703
30-05-22,29443.36523,31949.63086,29303.57227,31726.39063
31-05-22,31723.86523,32249.86328,31286.1543,31792.31055
01-06-22,31792.55469,31957.28516,29501.58789,29799.08008
02-06-22,29794.89063,30604.73438,29652.70508,30467.48828
03-06-22,30467.80664,30633.03516,29375.68945,29704.39063
04-06-22,29706.13867,29930.56445,29500.00586,29832.91406
05-06-22,29835.11719,30117.74414,29574.44922,29906.66211
06-06-22,29910.2832,31693.29102,29894.1875,31370.67188
07-06-22,31371.74219,31489.68359,29311.68359,31155.47852
08-06-22,31151.48047,31253.69141,29944.4043,30214.35547
09-06-22,30215.2793,30609.31055,30020.26563,30111.99805
10-06-22,30110.33008,30245.80859,28978.14648,29083.80469
11-06-22,29084.66602,29401.91602,28236.21289,28360.81055
12-06-22,28373.51367,28502.68555,26762.64844,26762.64844
13-06-22,26737.57813,26795.58984,22141.25781,22487.38867
14-06-22,22487.98633,23018.95117,20950.81836,22206.79297
15-06-22,22196.73047,22642.67188,20178.37695,22572.83984
16-06-22,22576.30469,22868.92188,20265.22656,20381.65039
17-06-22,20385.71875,21243.3125,20326.51953,20471.48242
18-06-22,20473.42578,20736.04102,17708.62305,19017.64258
19-06-22,19010.90234,20683.82227,18067.15234,20553.27148
20-06-22,20553.37109,20913.32227,19689.16992,20599.53711
21-06-22,20594.29492,21620.62891,20415.0625,20710.59766
22-06-22,20719.41406,20835.75,19848.07813,19987.0293
23-06-22,19986.60742,21135.76172,19950.11719,21085.87695
24-06-22,21084.64844,21472.91797,20777.51172,21231.65625
25-06-22,21233.60938,21520.91406,20964.58594,21502.33789
